fips,% Foreign Born,Veterans,Mean Travel Time,Median Household Income,Below Poverty Level,Total Number of Firms,% Black-owned Firms,% Asian-owned Firms,% Hispanic-owned Firms,% Women-owned Firms,Manufacturers Shipments ($1000),Retail Sales ($1000),Retail Sales per Capita,Building permits,Population per Square Mile,Bernie Sanders,Hillary Clinton,Most Votes
5037,0.7,1189,23.8,38085,17.4,1589,0,0,0,26.3,0,185706,9970,18,29,228,780,"('Votes', 'Hillary Clinton')"
5039,2.5,444,20.2,28931,19.7,459,9.6,0,0,12.9,184521,79676,9727,1,12.2,361,693,"('Votes', 'Hillary Clinton')"
5041,1.8,754,21.5,28680,30.1,840,0,0,0,27.4,400820,119201,8691,7,16.9,449,1342,"('Votes', 'Hillary Clinton')"
5043,1.9,983,20.8,31171,28.5,1460,6.4,0,0,0,156135,198993,10645,4,22.3,475,1250,"('Votes', 'Hillary Clinton')"
5045,2.9,8027,24.2,50314,14.6,9464,4.5,0.7,3.6,24.4,1587628,1227650,11730,341,174.8,2774,4077,"('Votes', 'Hillary Clinton')"
5047,0.8,1643,25,36766,20.5,1139,0,0,0,19.6,327694,140227,7748,0,29.8,294,667,"('Votes', 'Hillary Clinton')"
5049,1.1,1358,25.5,35522,18.7,1047,0,0,0,21.9,0,42434,3598,1,19.8,473,701,"('Votes', 'Hillary Clinton')"
5051,3.6,10575,21.7,39162,20.7,10369,2,0,2.3,22.8,661675,1443438,14958,43,141.7,1779,4057,"('Votes', 'Hillary Clinton')"
5053,1.9,1594,29.9,49004,9.9,1696,0,0,0,25.4,489875,107622,6148,9,28.3,300,690,"('Votes', 'Hillary Clinton')"
5055,1.1,3801,20.4,38413,17.1,3205,0,0,0,25.4,1434062,373077,9257,193,72.9,585,1236,"('Votes', 'Hillary Clinton')"
5057,5.7,1556,19.7,32056,27.4,1578,0,0,0,25.9,0,204433,8807,3,31.1,164,786,"('Votes', 'Hillary Clinton')"
5059,0.9,3202,27.7,41193,14.2,2636,0,0,0,23.8,858460,207424,6511,0,53.5,730,1562,"('Votes', 'Hillary Clinton')"
5061,6.2,875,18.7,35879,23.2,955,0,0,0,0,1081066,160839,11402,3,23.4,129,535,"('Votes', 'Hillary Clinton')"
5063,3.6,2826,19.7,35026,23.7,3110,0,0,0.8,26.3,920041,384242,11132,48,48,521,1059,"('Votes', 'Hillary Clinton')"
5065,2.3,1605,23.4,30661,18.7,0,0,0,0,0,0,104699,8035,3,23.6,239,516,"('Votes', 'Hillary Clinton')"
5067,0.8,1352,19.1,30284,28.4,1110,0,0,0,17,0,190887,11203,5,28.4,225,702,"('Votes', 'Hillary Clinton')"
5069,1.4,5858,21.3,37140,23.9,4083,28.1,2.9,0,25.6,0,867380,10922,55,88.9,2115,9936,"('Votes', 'Hillary Clinton')"
5071,6.3,1887,20.5,31003,20.1,2100,0,0,0,28.6,546790,196775,7942,3,38.7,580,1056,"('Votes', 'Hillary Clinton')"
5073,0.7,534,24.9,29732,24.1,0,0,0,0,0,0,32850,4257,0,14.5,160,443,"('Votes', 'Hillary Clinton')"
5075,0.6,1443,25.1,32239,25.4,1434,0,0,0,24.1,0,163661,9703,3,29.6,726,933,"('Votes', 'Hillary Clinton')"
5077,0.8,485,20.4,25034,31.5,532,0,0,0,23.7,0,35796,3345,0,17.3,84,956,"('Votes', 'Hillary Clinton')"
5079,1.5,901,26.2,32697,27,586,0,0,0,32.8,0,57549,4202,0,25.2,152,599,"('Votes', 'Hillary Clinton')"
5081,1.4,1218,23.4,39673,14,863,0,0,0,21.4,0,88228,6846,1,24.7,441,721,"('Votes', 'Hillary Clinton')"
5083,1.2,2058,26,34996,17.6,1924,0,0,0,0,692089,178072,7855,8,31.6,361,881,"('Votes', 'Hillary Clinton')"
5085,2.1,7426,25.6,52582,13.2,5253,4.1,0.7,2.2,21.5,0,497238,7821,263,88.7,817,1664,"('Votes', 'Hillary Clinton')"
5087,2.3,1279,29.6,35771,22.6,1202,0,0,0,0,0,114683,7381,0,18.8,1078,1085,"('Votes', 'Hillary Clinton')"
5089,2.4,2267,24.1,34494,18.9,2094,0,0,0,0,350144,87884,5291,2,27.9,314,421,"('Votes', 'Hillary Clinton')"
5091,0.9,3406,20.2,41319,19.5,3160,11.3,1.1,0,18.9,712872,407683,9503,37,69.5,356,1300,"('Votes', 'Hillary Clinton')"
5093,1.8,3002,18.2,36428,24.9,2231,13.4,0,0,28.9,5010206,421872,9051,30,51.6,342,2017,"('Votes', 'Hillary Clinton')"
5095,0.8,629,19.5,27263,28.8,832,0,0,0,0,0,82241,9599,1,13.4,411,843,"('Votes', 'Hillary Clinton')"
5097,1.7,1139,25.9,31345,22,922,0,0,0,0,0,32370,3570,0,12.2,142,316,"('Votes', 'Hillary Clinton')"
5099,1,762,25.1,33694,26.5,622,0,0,0,0,0,136792,14660,0,14.6,306,647,"('Votes', 'Hillary Clinton')"
5101,0.8,838,37.7,30038,23.5,1027,0,0,0,0,0,13268,1596,1,10.1,211,192,"('Votes', 'Bernie Sanders')"
5103,1,2039,22.7,32015,23.1,2153,13.6,0,0,0,0,185662,7135,3,35.6,525,2095,"('Votes', 'Hillary Clinton')"
5105,0.8,1002,34.8,42455,15.6,636,0,0,0,0,0,32763,3162,1,18.9,428,648,"('Votes', 'Hillary Clinton')"
5107,0.6,1271,18.3,26737,33.5,1791,26.7,0,0,33.4,0,229411,10468,34,31.3,656,2696,"('Votes', 'Hillary Clinton')"
5109,3.7,862,24.1,32206,24.8,964,0,0,0,15.1,0,52793,4876,0,18.8,171,367,"('Votes', 'Hillary Clinton')"
5111,1.3,1835,23.5,32089,28.1,1682,0,0,0,20.3,172016,193122,7762,9,32.4,228,717,"('Votes', 'Hillary Clinton')"
5113,2.8,2163,20.3,32835,23.1,1931,0,0,0,22.6,303468,176896,8785,2,24.1,272,349,"('Votes', 'Hillary Clinton')"
5115,3.5,4459,19.5,40453,19.3,5192,0,0,1.8,21.3,1436684,919267,15530,53,76,1169,1680,"('Votes', 'Hillary Clinton')"
5117,0.3,824,24.4,34855,21.2,572,0,0,0,9.3,0,39496,4481,11,13.4,385,558,"('Votes', 'Hillary Clinton')"
5119,5.2,31984,19.8,46013,17.2,35392,14.1,2,2.1,26.7,5969537,6163074,16435,1142,503.8,10461,34862,"('Votes', 'Hillary Clinton')"
5121,0.6,1405,29.2,34418,21.8,1427,0,0,0,14.2,148093,137421,7618,11,27.6,356,662,"('Votes', 'Hillary Clinton')"
5123,2.4,1905,20.6,30873,28.4,2007,33.3,0,1.4,38.8,0,353772,13206,0,44.5,354,1912,"('Votes', 'Hillary Clinton')"
5125,2.2,10509,25.6,55348,8.6,9517,1.7,1.5,0,23.9,366948,1157723,12137,326,148,2008,4358,"('Votes', 'Hillary Clinton')"
5127,4.8,961,23,37448,20,776,0,0,0,0,203046,48651,4308,42,12.6,151,306,"('Votes', 'Hillary Clinton')"
5129,0.8,745,29.4,30779,26.1,728,0,0,0,19.8,0,59109,7339,0,12.3,164,221,"('Votes', 'Hillary Clinton')"
5131,9.5,10175,17.7,40471,21.2,10763,2.5,3.4,2.2,0,5676530,1825534,14995,414,236.4,2226,3694,"('Votes', 'Hillary Clinton')"
5133,16.9,1055,21.4,35153,24.4,908,0,0,3.6,25.3,0,160591,9806,8,30.2,167,342,"('Votes', 'Hillary Clinton')"
5135,1.4,2092,27.9,30861,23.9,0,0,0,0,0,0,155959,8792,8,28.6,294,608,"('Votes', 'Hillary Clinton')"
5137,0.8,1342,21.1,29832,25.5,1918,0,0,0,17.8,0,108393,9100,8,20.4,421,547,"('Votes', 'Hillary Clinton')"
5139,2.1,3090,18.2,37435,21.5,3612,10.5,0.7,0,27.4,3901892,526384,12261,87,40.1,1669,2548,"('Votes', 'Hillary Clinton')"
5141,1.6,1901,28.7,32517,24.5,1819,0,0,0,0,0,152073,9238,3,24.4,436,770,"('Votes', 'Hillary Clinton')"
