fips,% Foreign Born,Veterans,Mean Travel Time,Median Household Income,Below Poverty Level,Total Number of Firms,% Black-owned Firms,% Asian-owned Firms,% Hispanic-owned Firms,% Women-owned Firms,Manufacturers Shipments ($1000),Retail Sales ($1000),Retail Sales per Capita,Building permits,Population per Square Mile,Ben Carson,Carly Fiorina,Chris Christie,Donald Trump,Jeb Bush,John Kasich,Marco Rubio,Mike Huckabee,Rand Paul,Rick Santorum,Ted Cruz,Most Votes
5003,2.1,1370,18.5,35683,18.9,1486,0,0,0,19.4,0,170779,7673,0,23.6,104,0,0,586,0,45,281,0,0,0,403,"('Votes', 'Donald Trump')"
5005,1.9,5725,17.1,35343,15.5,4635,0,0.6,0,22.8,550061,486791,11633,8,74.9,452,0,0,3798,0,376,1374,0,0,0,2480,"('Votes', 'Donald Trump')"
5007,10.9,16452,20.1,54515,12.2,18799,0.9,2.3,5.2,23.7,0,2390591,11332,2218,261.2,2525,0,0,11828,0,2272,12863,0,0,0,11909,"('Votes', 'Marco Rubio')"
5009,1.3,3280,19.7,38506,16.6,3748,0,0,0,29.3,0,466894,12738,12,62.5,478,0,0,2577,0,267,1213,0,0,0,1589,"('Votes', 'Donald Trump')"
5011,6.7,765,20.1,30409,31.3,640,0,0,4.2,0,176955,71522,5978,1,17.7,94,0,0,770,0,45,361,0,0,0,393,"('Votes', 'Donald Trump')"
5013,0,391,24.9,30980,14.9,0,0,0,0,0,0,17859,3263,0,8.5,11,0,0,172,0,4,76,0,0,0,142,"('Votes', 'Donald Trump')"
5015,6.8,2961,19.1,36584,18.8,3078,0,0,0,19.1,0,265358,9728,10,43.6,0,0,0,0,0,0,0,0,0,0,0,"('Votes', 'Ben Carson')"
5017,3.3,905,21.4,26201,33,916,12.2,0,0,25.1,0,67030,5446,6,18.3,35,0,0,416,0,20,162,0,0,0,152,"('Votes', 'Donald Trump')"
5019,2.6,1804,19.9,32721,24.3,1689,0,0,0,26.8,433867,247757,10461,3,26.6,144,0,0,694,0,102,750,0,0,0,907,"('Votes', 'Ted Cruz')"
5021,0.9,1230,22.8,31502,20.2,1109,0,0,0,25.2,111760,132637,8255,3,25.2,48,0,0,339,0,15,136,0,0,0,276,"('Votes', 'Donald Trump')"
5023,2,3158,24.9,40246,15.8,3180,0,0,0,27.1,205550,282382,11169,26,46.9,339,0,0,2530,0,210,1392,0,0,0,2227,"('Votes', 'Donald Trump')"
5025,0.4,630,27.4,39420,17.7,297,0,0,0,0,0,12265,1404,0,14.5,62,0,0,503,0,32,313,0,0,0,550,"('Votes', 'Ted Cruz')"
5027,2.9,1508,16.6,35128,25.4,1859,0,0,0,23.1,1164275,197935,8143,49,32.1,208,0,0,1149,0,103,634,0,0,0,943,"('Votes', 'Donald Trump')"
5029,1.9,1534,22.2,35225,24,1876,0,0,0,16.9,432551,270351,13074,10,38.5,101,0,0,805,0,31,498,0,0,0,741,"('Votes', 'Donald Trump')"
5031,3.7,6727,17.5,41393,20.6,8387,0,1.2,1.3,0,1830332,1440936,15768,671,136.4,851,0,0,3429,0,477,3142,0,0,0,4108,"('Votes', 'Ted Cruz')"
5033,4.1,5321,22,39479,20.2,4489,0,1.1,1.8,21.5,847991,452539,7666,43,104.4,591,0,0,3392,0,249,2251,0,0,0,3926,"('Votes', 'Ted Cruz')"
5035,1.7,3541,20.2,37751,26.3,3399,22.6,3.4,0,25.2,701251,750517,14399,95,83.5,165,0,0,1359,0,91,543,0,0,0,792,"('Votes', 'Donald Trump')"
5037,0.7,1189,23.8,38085,17.4,1589,0,0,0,26.3,0,185706,9970,18,29,139,0,0,972,0,45,395,0,0,0,808,"('Votes', 'Donald Trump')"
5039,2.5,444,20.2,28931,19.7,459,9.6,0,0,12.9,184521,79676,9727,1,12.2,26,0,0,163,0,1,90,0,0,0,148,"('Votes', 'Donald Trump')"
5041,1.8,754,21.5,28680,30.1,840,0,0,0,27.4,400820,119201,8691,7,16.9,16,0,0,234,0,5,97,0,0,0,75,"('Votes', 'Donald Trump')"
5043,1.9,983,20.8,31171,28.5,1460,6.4,0,0,0,156135,198993,10645,4,22.3,176,0,0,795,0,47,557,0,0,0,538,"('Votes', 'Donald Trump')"
5045,2.9,8027,24.2,50314,14.6,9464,4.5,0.7,3.6,24.4,1587628,1227650,11730,341,174.8,950,0,0,5078,0,595,5426,0,0,0,6228,"('Votes', 'Ted Cruz')"
5047,0.8,1643,25,36766,20.5,1139,0,0,0,19.6,327694,140227,7748,0,29.8,182,0,0,1229,0,95,601,0,0,0,1093,"('Votes', 'Donald Trump')"
5049,1.1,1358,25.5,35522,18.7,1047,0,0,0,21.9,0,42434,3598,1,19.8,111,0,0,651,0,32,181,0,0,0,385,"('Votes', 'Donald Trump')"
5051,3.6,10575,21.7,39162,20.7,10369,2,0,2.3,22.8,661675,1443438,14958,43,141.7,968,0,0,5538,0,673,4050,0,0,0,4081,"('Votes', 'Donald Trump')"
5053,1.9,1594,29.9,49004,9.9,1696,0,0,0,25.4,489875,107622,6148,9,28.3,125,0,0,1010,0,59,652,0,0,0,1329,"('Votes', 'Ted Cruz')"
5055,1.1,3801,20.4,38413,17.1,3205,0,0,0,25.4,1434062,373077,9257,193,72.9,376,0,0,2103,0,206,1318,0,0,0,1709,"('Votes', 'Donald Trump')"
5057,5.7,1556,19.7,32056,27.4,1578,0,0,0,25.9,0,204433,8807,3,31.1,119,0,0,821,0,91,395,0,0,0,917,"('Votes', 'Ted Cruz')"
5059,0.9,3202,27.7,41193,14.2,2636,0,0,0,23.8,858460,207424,6511,0,53.5,235,0,0,1597,0,81,891,0,0,0,1381,"('Votes', 'Donald Trump')"
5061,6.2,875,18.7,35879,23.2,955,0,0,0,0,1081066,160839,11402,3,23.4,117,0,0,559,0,34,322,0,0,0,548,"('Votes', 'Donald Trump')"
5063,3.6,2826,19.7,35026,23.7,3110,0,0,0.8,26.3,920041,384242,11132,48,48,469,0,0,2077,0,234,1370,0,0,0,1644,"('Votes', 'Donald Trump')"
5065,2.3,1605,23.4,30661,18.7,0,0,0,0,0,0,104699,8035,3,23.6,139,0,0,873,0,55,349,0,0,0,628,"('Votes', 'Donald Trump')"
